Cambio,Tiempo de Ejecución (segundos)
10,2.6702880859375e-05
15,6.175041198730469e-05
20,5.435943603515625e-05
25,5.745887756347656e-05
30,0.00012040138244628906
35,0.00011301040649414062
40,6.890296936035156e-05
45,8.177757263183594e-05
50,0.00010347366333007812
55,9.918212890625e-05
60,0.0001392364501953125
65,0.00012230873107910156
70,0.0002105236053466797
75,0.0001289844512939453
80,0.0001518726348876953
85,0.00011706352233886719
90,0.00019288063049316406
95,0.00014543533325195312
100,0.00014662742614746094
110,0.00015878677368164062
115,0.0001671314239501953
120,0.00018143653869628906
125,0.0003497600555419922
130,0.0001747608184814453
135,0.00038623809814453125
140,0.0003180503845214844
145,0.0002002716064453125
150,0.00027561187744140625
155,0.0002455711364746094
160,0.00026726722717285156
